Dataset,K,Seed,C_V,TD,Purity,NMI
20NG,20,42,0.4922,1.0,0.4392,0.5393
20NG,50,42,0.4587,0.952,0.4595,0.4418
20NG,100,42,0.4685,0.9952,0.5437,0.4668
AGNews,20,42,0.4577,0.908,0.476,0.2186
AGNews,50,42,0.5628,0.9832,0.7624,0.3324
AGNews,100,42,0.6463,0.9888,0.4952,0.1907
IMDB,20,42,0.3794,0.94,0.6916,0.0744
IMDB,50,42,0.4633,0.9928,0.6709,0.0511
IMDB,100,42,0.4666,0.958,0.6766,0.0392
YahooAnswer,20,42,0.4964,1.0,0.5468,0.3087
YahooAnswer,50,42,0.4822,0.8632,0.5336,0.2886
YahooAnswer,100,42,0.5044,0.9344,0.552,0.3002
