model,dataset,K,Purity,NMI,TD_top15,TD_top25
FASTopic,20NG,20,0.49044078597981944,0.5189168108490265,0.98,0.968
FASTopic,20NG,50,0.5979819437068508,0.5128103738872097,0.9493333333333334,0.908
FASTopic,20NG,100,0.5999734466277217,0.48484450131650575,0.908,0.8416
FASTopic,AGNews,20,0.8216,0.40429576471122125,0.9566666666666667,0.922
FASTopic,AGNews,50,0.828,0.3447503247534206,0.9106666666666666,0.8512
FASTopic,AGNews,100,0.8248,0.3158583671815175,0.8526666666666667,0.7992
FASTopic,IMDB,20,0.66864,0.05904427315459215,0.95,0.91
FASTopic,IMDB,50,0.6612,0.040707806130418384,0.904,0.8456
FASTopic,IMDB,100,0.66832,0.03682420118133621,0.8533333333333334,0.7856
FASTopic,YahooAnswer,20,0.5292,0.3122660650724031,0.96,0.934
FASTopic,YahooAnswer,50,0.546,0.31336404350471964,0.9053333333333333,0.8728
FASTopic,YahooAnswer,100,0.5688,0.3140474946932675,0.88,0.8208
