model,dataset,K,seed,device,phase,train_seconds,total_seconds,train_minutes,total_minutes,mode
FASTopic,20NG,20,42,cuda,train,165.27480317599998,171.6341182519999,2.754580052933333,2.8605686375333317,text
FASTopic,20NG,50,42,cuda,train,165.14386227699993,171.51799570599997,2.752397704616665,2.858633261766666,text
FASTopic,20NG,100,42,cuda,train,167.5642219429999,174.05034534699985,2.7927370323833314,2.900839089116664,text
FASTopic,AGNews,20,42,cuda,train,132.18161835900014,132.41021567100006,2.2030269726500022,2.206836927850001,bow_avg
FASTopic,AGNews,50,42,cuda,train,92.17652247900014,92.31031690600003,1.5362753746500024,1.5385052817666671,bow_avg
FASTopic,AGNews,100,42,cuda,train,94.11496361499985,94.28360951699983,1.5685827269166641,1.5713934919499972,bow_avg
FASTopic,IMDB,20,42,cuda,train,326.83023192899986,347.8998318809997,5.447170532149998,5.798330531349995,text
FASTopic,IMDB,50,42,cuda,train,327.13158026500014,348.39047948000007,5.452193004416669,5.806507991333334,text
FASTopic,IMDB,100,42,cuda,train,328.52093569399995,349.57292888899974,5.475348928233332,5.826215481483329,text
FASTopic,YahooAnswer,20,42,cuda,train,90.48327153700029,90.81436321499996,1.5080545256166715,1.5135727202499993,bow_avg
FASTopic,YahooAnswer,50,42,cuda,train,148.89402112300013,149.06826091699986,2.4815670187166687,2.484471015283331,bow_avg
FASTopic,YahooAnswer,100,42,cuda,train,152.3896286700001,152.58278431899998,2.5398271445000016,2.5430464053166664,bow_avg
