Dataset,K,Seed,C_V,TD,Purity,NMI
20NG,20,42,0.623,0.932,0.5838,0.5591
20NG,50,42,0.5611,0.7056,0.6138,0.5374
20NG,100,42,0.4328,0.3964,0.5891,0.5087
AGNews,20,42,0.3803,0.99,0.3132,0.0885
AGNews,50,42,0.4231,0.7136,0.7276,0.323
AGNews,100,42,0.4229,0.3816,0.5748,0.2569
IMDB,20,42,0.3826,0.928,0.7012,0.0748
IMDB,50,42,0.3701,0.6944,0.763,0.0867
IMDB,100,42,0.3895,0.2636,0.6882,0.0474
YahooAnswer,20,42,0.4383,1.0,0.5796,0.3413
YahooAnswer,50,42,0.4508,0.9552,0.5196,0.2763
YahooAnswer,100,42,0.459,0.6552,0.5416,0.2977
